sale_id,product,category,price,quantity,total,date,store,city,has_anomaly,anomaly_types,anomaly_flags,anomaly_severity,anomaly_score,empty_count,severity_weight,anomaly,anomaly_method,anomaly_confidence
34.0,Chicken,,24.47,0.0,,,Monoprix,Sousse,True,category_null|total_null|date_null|quantity_zero|order_no_items|product_category_mismatch|exact_duplicate_row|,10,medium,31.730769230769234,3,25,-1,ensemble,1
35.0,Rice,,41.33,21.0,867.93,,Carrefour,Sousse,True,category_null|date_null|product_category_mismatch|quantity_statistical_outlier|total_statistical_outlier|,6,high,36.53846153846154,2,50,-1,ensemble,2
36.0,Pasta,Fruits,15.44,16.0,247.04,2023-12-09,Carrefour,Sousse,True,product_category_mismatch|quantity_statistical_outlier|,3,high,30.76923076923077,1,50,-1,ensemble,2
37.0,Apple,Dairy,19.41,0.0,-100,2022-12-11,MG,Ariana,True,quantity_zero|total_price_mismatch|order_no_items|product_category_mismatch|,8,high,40.38461538461539,1,50,-1,ensemble,1
38.0,Banana,Meat,2.88,0.0,-100,,Aziza,Ariana,True,date_null|quantity_zero|total_price_mismatch|order_no_items|product_category_mismatch|,9,high,42.30769230769231,1,50,-1,ensemble,1
39.0,Bread,Dairy,12.1,0.0,-100,,Carrefour,Tunis,True,date_null|quantity_zero|total_price_mismatch|order_no_items|product_category_mismatch|,9,high,42.30769230769231,1,50,-1,ensemble,1
40.0,Banana,Dairy,26.77,0.0,error,,Monoprix,Sousse,True,date_null|total_not_numeric|quantity_zero|order_no_items|product_category_mismatch|,8,high,40.38461538461539,1,50,-1,ensemble,1
41.0,Pasta,Dairy,10.0,0.0,-100,,Monoprix,Sousse,True,date_null|quantity_zero|total_price_mismatch|order_no_items|product_category_mismatch|,9,high,42.30769230769231,1,50,-1,ensemble,1
42.0,Eggs,Meat,26.57,7.0,185.99,,Carrefour,Sfax,True,date_null|product_category_mismatch|,3,high,30.76923076923077,1,50,-1,ensemble,1
,Milk,Dairy,16.1,0.0,error,,,Sousse,True,sale_id_null|date_null|store_null|total_not_numeric|quantity_zero|order_no_items|product_category_mismatch|exact_duplicate_row|,12,medium,35.57692307692308,3,25,-1,ensemble,1
44.0,Apple,,0.68,0.0,error,,Carrefour,Ariana,True,category_null|date_null|total_not_numeric|quantity_zero|order_no_items|product_category_mismatch|,9,high,42.30769230769231,2,50,-1,ensemble,1
45.0,Pasta,Dry,7.74,11.0,85.14,,Monoprix,Sousse,True,date_null|product_category_mismatch|quantity_statistical_outlier|,4,high,32.69230769230769,1,50,-1,ensemble,1
46.0,Chicken,Dry,21.81,0.0,error,,Aziza,Sfax,True,date_null|total_not_numeric|quantity_zero|order_no_items|product_category_mismatch|,8,high,40.38461538461539,1,50,-1,ensemble,1
47.0,Eggs,,0.66,0.0,,,Aziza,Ariana,True,category_null|total_null|date_null|quantity_zero|order_no_items|product_category_mismatch|,8,high,40.38461538461539,3,50,-1,ensemble,1
48.0,Juice,Fruits,48.56,21.0,1019.76,,Aziza,Sousse,True,date_null|product_category_mismatch|quantity_statistical_outlier|total_statistical_outlier|,5,high,34.61538461538461,1,50,-1,ensemble,2
49.0,Apple,Fruits,31.44,0.0,error,,MG,Tunis,True,date_null|total_not_numeric|quantity_zero|order_no_items|product_category_mismatch|exact_duplicate_row|,10,medium,31.730769230769234,1,25,-1,ensemble,1
50.0,Rice,Dairy,27.9,0.0,-100,,Monoprix,Sfax,True,date_null|quantity_zero|total_price_mismatch|order_no_items|product_category_mismatch|exact_duplicate_row|,11,medium,33.65384615384615,1,25,-1,ensemble,1
51.0,Milk,Fruits,31.35,0.0,-100,,Monoprix,Sfax,True,date_null|quantity_zero|total_price_mismatch|order_no_items|product_category_mismatch|,9,high,42.30769230769231,1,50,-1,ensemble,1
52.0,Banana,,38.69,0.0,,,,Ariana,True,category_null|total_null|date_null|store_null|quantity_zero|order_no_items|product_category_mismatch|exact_duplicate_row|,11,medium,33.65384615384615,4,25,-1,ensemble,1
53.0,Milk,Meat,44.56,0.0,0.0,,Carrefour,Sfax,True,date_null|quantity_zero|order_no_items|product_category_mismatch|exact_duplicate_row|,8,medium,27.884615384615387,1,25,-1,ensemble,1
54.0,Rice,Meat,34.15,0.0,,2023-09-03,Aziza,Sfax,True,total_null|quantity_zero|order_no_items|product_category_mismatch|exact_duplicate_row|,8,medium,27.884615384615387,1,25,-1,ensemble,1
55.0,Chicken,Dry,3.48,5.0,17.4,,Monoprix,Ariana,True,date_null|product_category_mismatch|,3,high,30.76923076923077,1,50,-1,ensemble,2
56.0,Eggs,Dairy,2.55,0.0,-100,,,Ariana,True,date_null|store_null|quantity_zero|total_price_mismatch|order_no_items|,8,high,40.38461538461539,2,50,-1,ensemble,1
57.0,Rice,Meat,7.42,0.0,error,,,Sousse,True,date_null|store_null|total_not_numeric|quantity_zero|order_no_items|product_category_mismatch|,9,high,42.30769230769231,2,50,-1,ensemble,1
58.0,Chicken,Dairy,48.8,0.0,-100,,Carrefour,Sfax,True,date_null|quantity_zero|total_price_mismatch|order_no_items|product_category_mismatch|,9,high,42.30769230769231,1,50,-1,ensemble,1
59.0,Banana,Dry,23.43,0.0,-100,,Carrefour,Sousse,True,date_null|quantity_zero|total_price_mismatch|order_no_items|product_category_mismatch|,9,high,42.30769230769231,1,50,-1,ensemble,1
,Chicken,,37.82,0.0,error,,Aziza,Sousse,True,sale_id_null|category_null|date_null|total_not_numeric|quantity_zero|order_no_items|product_category_mismatch|,10,high,44.23076923076923,3,50,-1,ensemble,1
61.0,Milk,,36.22,13.0,470.86,,MG,Tunis,True,category_null|date_null|product_category_mismatch|quantity_statistical_outlier|,5,high,34.61538461538461,2,50,-1,ensemble,1
62.0,Bread,Fruits,22.81,0.0,-100,,MG,Tunis,True,date_null|quantity_zero|total_price_mismatch|order_no_items|product_category_mismatch|,9,high,42.30769230769231,1,50,-1,ensemble,1
63.0,Eggs,,35.64,0.0,-100,,Aziza,Sfax,True,category_null|date_null|quantity_zero|total_price_mismatch|order_no_items|product_category_mismatch|,10,high,44.23076923076923,2,50,-1,ensemble,1
64.0,Chicken,Dairy,48.2,0.0,,,Aziza,Sfax,True,total_null|date_null|quantity_zero|order_no_items|product_category_mismatch|,7,high,38.46153846153846,2,50,-1,ensemble,1
65.0,Chicken,Dairy,30.32,4.0,121.28,,Aziza,Sousse,True,date_null|product_category_mismatch|,3,high,30.76923076923077,1,50,-1,ensemble,1
66.0,Juice,Fruits,15.89,0.0,error,,Carrefour,Sousse,True,date_null|total_not_numeric|quantity_zero|order_no_items|product_category_mismatch|,8,high,40.38461538461539,1,50,-1,ensemble,1
67.0,Chicken,,32.56,-1.0,-32.56,,,Sousse,True,category_null|date_null|store_null|quantity_negative|order_no_items|product_category_mismatch|,9,high,42.30769230769231,3,50,-1,ensemble,1
68.0,Banana,Dairy,9.04,0.0,-100,,Monoprix,Sousse,True,date_null|quantity_zero|total_price_mismatch|order_no_items|product_category_mismatch|,9,high,42.30769230769231,1,50,-1,ensemble,1
,Milk,Dairy,4.34,0.0,error,,Monoprix,Sousse,True,sale_id_null|date_null|total_not_numeric|quantity_zero|order_no_items|product_category_mismatch|,9,high,42.30769230769231,2,50,-1,ensemble,1
70.0,Milk,,0.06,0.0,error,,,Sfax,True,category_null|date_null|store_null|total_not_numeric|quantity_zero|order_no_items|product_category_mismatch|,10,high,44.23076923076923,3,50,-1,ensemble,1
71.0,Eggs,Dairy,33.26,0.0,-100,,MG,Ariana,True,date_null|quantity_zero|total_price_mismatch|order_no_items|,7,high,38.46153846153846,1,50,-1,ensemble,1
72.0,Chicken,Meat,3.91,0.0,error,,MG,Tunis,True,date_null|total_not_numeric|quantity_zero|order_no_items|,6,high,36.53846153846154,1,50,-1,ensemble,1
73.0,Banana,Fruits,19.23,28.0,538.44,,Carrefour,Sfax,True,date_null|product_category_mismatch|quantity_statistical_outlier|,4,high,32.69230769230769,1,50,-1,ensemble,2
74.0,Rice,Fruits,28.77,0.0,-100,,Carrefour,Tunis,True,date_null|quantity_zero|total_price_mismatch|order_no_items|product_category_mismatch|,9,high,42.30769230769231,1,50,-1,ensemble,1
75.0,Pasta,Dairy,44.31,0.0,-100,,MG,Sfax,True,date_null|quantity_zero|total_price_mismatch|order_no_items|product_category_mismatch|,9,high,42.30769230769231,1,50,-1,ensemble,1
76.0,Rice,,4.8,0.0,,,,Sfax,True,category_null|total_null|date_null|store_null|quantity_zero|order_no_items|product_category_mismatch|,9,high,42.30769230769231,4,50,-1,ensemble,1
77.0,Pasta,Dairy,26.2,0.0,-100,,Carrefour,Sousse,True,date_null|quantity_zero|total_price_mismatch|order_no_items|product_category_mismatch|,9,high,42.30769230769231,1,50,-1,ensemble,1
78.0,Chicken,Dairy,41.26,0.0,error,,Aziza,Sfax,True,date_null|total_not_numeric|quantity_zero|order_no_items|product_category_mismatch|,8,high,40.38461538461539,1,50,-1,ensemble,1
79.0,Bread,Meat,21.76,0.0,-100,,Monoprix,Tunis,True,date_null|quantity_zero|total_price_mismatch|order_no_items|product_category_mismatch|,9,high,42.30769230769231,1,50,-1,ensemble,1
80.0,Apple,Dry,16.38,0.0,,,Carrefour,Sousse,True,total_null|date_null|quantity_zero|order_no_items|product_category_mismatch|exact_duplicate_row|,9,medium,29.807692307692307,2,25,-1,ensemble,1
81.0,Milk,Dry,1.5,0.0,error,,Carrefour,Sfax,True,date_null|total_not_numeric|quantity_zero|order_no_items|product_category_mismatch|,8,high,40.38461538461539,1,50,-1,ensemble,1
82.0,Pasta,,2.48,5.0,-12.4,,Carrefour,Ariana,True,category_null|date_null|total_price_mismatch|product_category_mismatch|,7,high,38.46153846153846,2,50,-1,ensemble,1
83.0,Bread,Dairy,1.28,11.0,14.08,,Aziza,Sousse,True,date_null|product_category_mismatch|quantity_statistical_outlier|,4,high,32.69230769230769,1,50,-1,ensemble,2
84.0,Juice,Fruits,12.69,10.0,126.89999999999999,,Carrefour,Sousse,True,date_null|product_category_mismatch|,3,high,30.76923076923077,1,50,-1,ensemble,2
85.0,Rice,Fruits,33.3,0.0,,,Carrefour,Ariana,True,total_null|date_null|quantity_zero|order_no_items|product_category_mismatch|,7,high,38.46153846153846,2,50,-1,ensemble,1
,Pasta,Dairy,4.65,8.0,-37.2,,Monoprix,Sfax,True,sale_id_null|date_null|total_price_mismatch|product_category_mismatch|,7,high,38.46153846153846,2,50,-1,ensemble,1
87.0,Banana,,19.77,12.0,237.24,,,Tunis,True,category_null|date_null|store_null|product_category_mismatch|quantity_statistical_outlier|,6,high,36.53846153846154,3,50,-1,ensemble,1
88.0,Banana,Meat,18.03,12.0,216.36,,,Sousse,True,date_null|store_null|product_category_mismatch|exact_duplicate_row|quantity_statistical_outlier|,7,medium,25.96153846153846,2,25,-1,ensemble,1
89.0,Juice,,7.06,0.0,error,,Monoprix,Ariana,True,category_null|date_null|total_not_numeric|quantity_zero|order_no_items|product_category_mismatch|,9,high,42.30769230769231,2,50,-1,ensemble,1
90.0,Milk,Dairy,30.47,15.0,457.04999999999995,,,Ariana,True,date_null|store_null|product_category_mismatch|quantity_statistical_outlier|,5,high,34.61538461538461,2,50,-1,ensemble,1
,Milk,,4.67,0.0,-100,,Monoprix,Ariana,True,sale_id_null|category_null|date_null|quantity_zero|total_price_mismatch|order_no_items|product_category_mismatch|exact_duplicate_row|,13,medium,37.5,3,25,-1,ensemble,2
92.0,Rice,Fruits,36.09,17.0,613.5300000000001,,Carrefour,Sfax,True,date_null|product_category_mismatch|quantity_statistical_outlier|,4,high,32.69230769230769,1,50,-1,ensemble,1
93.0,Apple,Dry,44.03,0.0,-100,,Monoprix,Sfax,True,date_null|quantity_zero|total_price_mismatch|order_no_items|product_category_mismatch|,9,high,42.30769230769231,1,50,-1,ensemble,1
94.0,Rice,Meat,2.5,0.0,,2023-07-07,MG,Sfax,True,total_null|quantity_zero|order_no_items|product_category_mismatch|,6,high,36.53846153846154,1,50,-1,ensemble,1
95.0,Milk,Meat,2.51,0.0,-100,,Monoprix,Sousse,True,date_null|quantity_zero|total_price_mismatch|order_no_items|product_category_mismatch|,9,high,42.30769230769231,1,50,-1,ensemble,1
96.0,Eggs,,48.36,11.0,531.96,,Monoprix,Ariana,True,category_null|date_null|product_category_mismatch|quantity_statistical_outlier|,5,high,34.61538461538461,2,50,-1,ensemble,2
97.0,Banana,Dairy,35.15,12.0,421.79999999999995,2024-08-06,,Sfax,True,store_null|product_category_mismatch|quantity_statistical_outlier|,4,high,32.69230769230769,1,50,-1,ensemble,1
98.0,Milk,Dry,48.91,0.0,error,,,Ariana,True,date_null|store_null|total_not_numeric|quantity_zero|order_no_items|product_category_mismatch|,9,high,42.30769230769231,2,50,-1,ensemble,1
99.0,Bread,Dry,22.24,0.0,error,2024-12-04,Monoprix,Sousse,True,total_not_numeric|quantity_zero|order_no_items|product_category_mismatch|,7,high,38.46153846153846,1,50,-1,ensemble,1
100.0,Bread,Dairy,21.39,16.0,342.24,,Aziza,Sfax,True,date_null|product_category_mismatch|quantity_statistical_outlier|,4,high,32.69230769230769,1,50,-1,ensemble,1
101.0,Rice,Fruits,38.44,0.0,-100,,Aziza,Sousse,True,date_null|quantity_zero|total_price_mismatch|order_no_items|product_category_mismatch|,9,high,42.30769230769231,1,50,-1,ensemble,1
,Rice,Meat,33.39,0.0,,,,Sousse,True,sale_id_null|total_null|date_null|store_null|quantity_zero|order_no_items|product_category_mismatch|,9,high,42.30769230769231,4,50,-1,ensemble,1
103.0,Chicken,Dry,29.05,0.0,,,Monoprix,Sousse,True,total_null|date_null|quantity_zero|order_no_items|product_category_mismatch|,7,high,38.46153846153846,2,50,-1,ensemble,1
104.0,Pasta,,42.91,0.0,error,,MG,Ariana,True,category_null|date_null|total_not_numeric|quantity_zero|order_no_items|product_category_mismatch|,9,high,42.30769230769231,2,50,-1,ensemble,1
,Chicken,Meat,19.88,0.0,-100,,Aziza,Sousse,True,sale_id_null|date_null|quantity_zero|total_price_mismatch|order_no_items|exact_duplicate_row|,10,medium,31.730769230769234,2,25,-1,ensemble,1
106.0,Bread,Fruits,44.05,26.0,1145.3,2024-11-03,MG,Tunis,True,product_category_mismatch|quantity_statistical_outlier|total_statistical_outlier|,4,high,32.69230769230769,1,50,-1,ensemble,2
107.0,Banana,Dairy,33.34,28.0,933.5200000000001,,MG,Ariana,True,date_null|product_category_mismatch|quantity_statistical_outlier|total_statistical_outlier|,5,high,34.61538461538461,1,50,-1,ensemble,2
108.0,Juice,Fruits,21.06,0.0,,,Carrefour,Tunis,True,total_null|date_null|quantity_zero|order_no_items|product_category_mismatch|,7,high,38.46153846153846,2,50,-1,ensemble,1
109.0,Juice,Meat,17.64,0.0,-100,,Aziza,Sousse,True,date_null|quantity_zero|total_price_mismatch|order_no_items|product_category_mismatch|,9,high,42.30769230769231,1,50,-1,ensemble,1
110.0,Banana,Fruits,38.41,0.0,error,,Monoprix,Sousse,True,date_null|total_not_numeric|quantity_zero|order_no_items|product_category_mismatch|,8,high,40.38461538461539,1,50,-1,ensemble,1
111.0,Eggs,,45.83,15.0,687.4499999999999,2022-11-11,Monoprix,Tunis,True,category_null|product_category_mismatch|quantity_statistical_outlier|,4,high,32.69230769230769,1,50,-1,ensemble,2
,Chicken,,1.96,0.0,,,MG,Sousse,True,sale_id_null|category_null|total_null|date_null|quantity_zero|order_no_items|product_category_mismatch|,9,high,42.30769230769231,4,50,-1,ensemble,1
113.0,Juice,Fruits,24.35,4.0,97.4,,Aziza,Sousse,True,date_null|product_category_mismatch|,3,high,30.76923076923077,1,50,-1,ensemble,1
114.0,Juice,,13.22,0.0,-100,,MG,Tunis,True,category_null|date_null|quantity_zero|total_price_mismatch|order_no_items|product_category_mismatch|,10,high,44.23076923076923,2,50,-1,ensemble,1
115.0,Milk,Fruits,32.29,0.0,,2024-02-04,Aziza,Sousse,True,total_null|quantity_zero|order_no_items|product_category_mismatch|,6,high,36.53846153846154,1,50,-1,ensemble,1
116.0,Apple,,23.95,14.0,335.3,,Carrefour,Ariana,True,category_null|date_null|product_category_mismatch|quantity_statistical_outlier|,5,high,34.61538461538461,2,50,-1,ensemble,1
117.0,Chicken,,28.28,0.0,error,,Aziza,Sousse,True,category_null|date_null|total_not_numeric|quantity_zero|order_no_items|product_category_mismatch|,9,high,42.30769230769231,2,50,-1,ensemble,1
118.0,Banana,Meat,14.32,0.0,error,,Aziza,Ariana,True,date_null|total_not_numeric|quantity_zero|order_no_items|product_category_mismatch|,8,high,40.38461538461539,1,50,-1,ensemble,1
119.0,Rice,Dry,2.68,2.0,5.36,,,Sousse,True,date_null|store_null|product_category_mismatch|,4,high,32.69230769230769,2,50,-1,ensemble,1
,Rice,Dairy,4.64,0.0,error,2024-04-08,Monoprix,Sfax,True,sale_id_null|total_not_numeric|quantity_zero|order_no_items|product_category_mismatch|,8,high,40.38461538461539,1,50,-1,ensemble,1
121.0,Pasta,Dairy,40.25,0.0,,,Monoprix,Tunis,True,total_null|date_null|quantity_zero|order_no_items|product_category_mismatch|,7,high,38.46153846153846,2,50,-1,ensemble,1
122.0,Banana,Dry,1.83,0.0,error,2024-04-10,Carrefour,Tunis,True,total_not_numeric|quantity_zero|order_no_items|product_category_mismatch|,7,high,38.46153846153846,1,50,-1,ensemble,1
123.0,Bread,,36.01,0.0,-100,,Carrefour,Sousse,True,category_null|date_null|quantity_zero|total_price_mismatch|order_no_items|product_category_mismatch|,10,high,44.23076923076923,2,50,-1,ensemble,1
124.0,Milk,Meat,3.96,0.0,0.0,2024-02-08,MG,Sfax,True,quantity_zero|order_no_items|product_category_mismatch|,5,high,34.61538461538461,1,50,-1,ensemble,1
,Chicken,Dry,29.99,19.0,569.81,,,Sfax,True,sale_id_null|date_null|store_null|product_category_mismatch|quantity_statistical_outlier|,6,high,36.53846153846154,3,50,-1,ensemble,1
126.0,Eggs,Dairy,27.93,0.0,,,MG,Sousse,True,total_null|date_null|quantity_zero|order_no_items|,5,high,34.61538461538461,2,50,-1,ensemble,1
127.0,Chicken,Fruits,4.29,0.0,,,MG,Sfax,True,total_null|date_null|quantity_zero|order_no_items|product_category_mismatch|,7,high,38.46153846153846,2,50,-1,ensemble,1
128.0,Juice,Fruits,40.74,0.0,,,Carrefour,Tunis,True,total_null|date_null|quantity_zero|order_no_items|product_category_mismatch|,7,high,38.46153846153846,2,50,-1,ensemble,1
129.0,Pasta,Meat,12.14,20.0,242.8,,Monoprix,Sousse,True,date_null|product_category_mismatch|quantity_statistical_outlier|,4,high,32.69230769230769,1,50,-1,ensemble,1
,Bread,Fruits,2.08,0.0,,,Monoprix,Sfax,True,sale_id_null|total_null|date_null|quantity_zero|order_no_items|product_category_mismatch|exact_duplicate_row|,10,medium,31.730769230769234,3,25,-1,ensemble,1
131.0,Bread,Dairy,3.97,0.0,error,,Carrefour,Tunis,True,date_null|total_not_numeric|quantity_zero|order_no_items|product_category_mismatch|,8,high,40.38461538461539,1,50,-1,ensemble,1
132.0,Banana,Dairy,1.36,-3.0,4.08,,Monoprix,Sousse,True,date_null|quantity_negative|total_price_mismatch|order_no_items|product_category_mismatch|,10,high,44.23076923076923,1,50,-1,ensemble,2
,Eggs,Meat,47.18,0.0,,,,Tunis,True,sale_id_null|total_null|date_null|store_null|quantity_zero|order_no_items|product_category_mismatch|,9,high,42.30769230769231,4,50,-1,ensemble,1
134.0,Milk,,6.93,0.0,error,,Monoprix,Ariana,True,category_null|date_null|total_not_numeric|quantity_zero|order_no_items|product_category_mismatch|exact_duplicate_row|,11,medium,33.65384615384615,2,25,-1,ensemble,1
135.0,Eggs,Dry,32.04,3.0,96.12,,Monoprix,Sfax,True,date_null|product_category_mismatch|,3,high,30.76923076923077,1,50,-1,ensemble,1
136.0,Chicken,Dairy,20.62,30.0,618.6,,,Tunis,True,date_null|store_null|product_category_mismatch|quantity_statistical_outlier|unusual_quantity_spike|,6,high,36.53846153846154,2,50,-1,ensemble,2
,Pasta,Dairy,16.16,0.0,error,,,Ariana,True,sale_id_null|date_null|store_null|total_not_numeric|quantity_zero|order_no_items|product_category_mismatch|,10,high,44.23076923076923,3,50,-1,ensemble,1
138.0,Rice,Fruits,42.12,0.0,error,,Aziza,Tunis,True,date_null|total_not_numeric|quantity_zero|order_no_items|product_category_mismatch|,8,high,40.38461538461539,1,50,-1,ensemble,1
139.0,Bread,Dairy,2.89,0.0,error,,MG,Sfax,True,date_null|total_not_numeric|quantity_zero|order_no_items|product_category_mismatch|,8,high,40.38461538461539,1,50,-1,ensemble,1
140.0,Rice,Dairy,7.81,0.0,error,,Aziza,Sousse,True,date_null|total_not_numeric|quantity_zero|order_no_items|product_category_mismatch|,8,high,40.38461538461539,1,50,-1,ensemble,1
141.0,Rice,Dry,23.13,0.0,,,Aziza,Ariana,True,total_null|date_null|quantity_zero|order_no_items|product_category_mismatch|,7,high,38.46153846153846,2,50,-1,ensemble,1
142.0,Eggs,Dairy,0.48,0.0,0.0,,Aziza,Sousse,True,date_null|quantity_zero|order_no_items|,4,high,32.69230769230769,1,50,-1,ensemble,1
