sale_id,product,category,price,quantity,total,date,store,city
30.0,Apple,Dairy,1.5,ten,error,,Aziza,Tunis
31.0,Apple,Dairy,30.23,,,2023-13-01,,Sousse
32.0,Chicken,Meat,16.78,-2,-33.56,2023-13-01,Aziza,Ariana
33.0,Eggs,Dry,3.55,ten,-100,,Carrefour,Sousse
34.0,Chicken,,24.47,ten,,2023-11-11,Monoprix,Sousse
35.0,Rice,,41.33,21,867.93,2023-13-01,Carrefour,Sousse
36.0,Pasta,Fruits,15.44,16,247.04,12/09/2023,Carrefour,Sousse
37.0,Apple,Dairy,19.41,,-100,12/11/2022,MG,Ariana
38.0,Banana,Meat,2.88,ten,-100,2022-09-29,Aziza,Ariana
39.0,Bread,Dairy,12.1,ten,-100,,Carrefour,Tunis
40.0,Banana,Dairy,26.77,ten,error,20/10/2023,Monoprix,Sousse
41.0,Pasta,Dairy,10.0,,-100,2022-08-23,Monoprix,Sousse
42.0,Eggs,Meat,26.57,7,185.99,,Carrefour,Sfax
,Milk,Dairy,16.1,,error,,,Sousse
44.0,Apple,,-0.68,ten,error,,Carrefour,Ariana
45.0,Pasta,Dry,7.74,11,85.14,,Monoprix,Sousse
46.0,Chicken,Dry,21.81,,error,,Aziza,Sfax
47.0,Eggs,,0.66,,,,Aziza,Ariana
48.0,Juice,Fruits,48.56,21,1019.76,,Aziza,Sousse
49.0,Apple,Fruits,31.44,ten,error,,MG,Tunis
50.0,Rice,Dairy,27.9,,-100,2024-10-09,Monoprix,Sfax
51.0,Milk,Fruits,31.35,ten,-100,,Monoprix,Sfax
52.0,Banana,,38.69,,,2023-12-07,,Ariana
53.0,Milk,Meat,44.56,0,0.0,2023-13-01,Carrefour,Sfax
54.0,Rice,Meat,34.15,,,09/03/2023,Aziza,Sfax
55.0,Chicken,Dry,3.48,5,17.4,2022-01-24,Monoprix,Ariana
56.0,Eggs,Dairy,2.55,,-100,,,Ariana
57.0,Rice,Meat,7.42,ten,error,17/10/2024,,Sousse
58.0,Chicken,Dairy,48.8,ten,-100,,Carrefour,Sfax
59.0,Banana,Dry,23.43,ten,-100,,Carrefour,Sousse
,Chicken,,37.82,,error,2023-13-01,Aziza,Sousse
61.0,Milk,,36.22,13,470.86,2024-08-27,MG,Tunis
62.0,Bread,Fruits,22.81,,-100,2023-13-01,MG,Tunis
63.0,Eggs,,35.64,,-100,20/06/2023,Aziza,Sfax
64.0,Chicken,Dairy,48.2,,,24/02/2024,Aziza,Sfax
65.0,Chicken,Dairy,30.32,4,121.28,,Aziza,Sousse
66.0,Juice,Fruits,15.89,,error,,Carrefour,Sousse
67.0,Chicken,,32.56,-1,-32.56,,,Sousse
68.0,Banana,Dairy,9.04,,-100,2023-13-01,Monoprix,Sousse
,Milk,Dairy,-4.34,ten,error,2023-13-01,Monoprix,Sousse
70.0,Milk,,0.06,ten,error,2022-09-07,,Sfax
71.0,Eggs,Dairy,33.26,,-100,,MG,Ariana
72.0,Chicken,Meat,3.91,,error,,MG,Tunis
73.0,Banana,Fruits,19.23,28,538.44,,Carrefour,Sfax
74.0,Rice,Fruits,28.77,,-100,2023-06-15,Carrefour,Tunis
75.0,Pasta,Dairy,44.31,ten,-100,,MG,Sfax
76.0,Rice,,-4.8,,,2024-06-12,,Sfax
77.0,Pasta,Dairy,26.2,,-100,2023-09-13,Carrefour,Sousse
78.0,Chicken,Dairy,41.26,ten,error,2023-02-20,Aziza,Sfax
79.0,Bread,Meat,21.76,ten,-100,2023-01-24,Monoprix,Tunis
80.0,Apple,Dry,16.38,,,2024-12-29,Carrefour,Sousse
81.0,Milk,Dry,1.5,,error,2022-11-02,Carrefour,Sfax
82.0,Pasta,,-2.48,5,-12.4,2023-13-01,Carrefour,Ariana
83.0,Bread,Dairy,1.28,11,14.08,2023-13-01,Aziza,Sousse
84.0,Juice,Fruits,12.69,10,126.89999999999999,2022-12-22,Carrefour,Sousse
85.0,Rice,Fruits,33.3,,,25/03/2022,Carrefour,Ariana
,Pasta,Dairy,-4.65,8,-37.2,,Monoprix,Sfax
87.0,Banana,,19.77,12,237.24,,,Tunis
88.0,Banana,Meat,18.03,12,216.36,2022-08-29,,Sousse
89.0,Juice,,7.06,,error,2022-04-19,Monoprix,Ariana
90.0,Milk,Dairy,30.47,15,457.04999999999995,2023-13-01,,Ariana
,Milk,,4.67,,-100,2024-11-20,Monoprix,Ariana
92.0,Rice,Fruits,36.09,17,613.5300000000001,30/10/2023,Carrefour,Sfax
93.0,Apple,Dry,44.03,,-100,,Monoprix,Sfax
94.0,Rice,Meat,2.5,ten,,07/07/2023,MG,Sfax
95.0,Milk,Meat,2.51,,-100,2023-13-01,Monoprix,Sousse
96.0,Eggs,,48.36,11,531.96,,Monoprix,Ariana
97.0,Banana,Dairy,35.15,12,421.79999999999995,08/06/2024,,Sfax
98.0,Milk,Dry,48.91,,error,,,Ariana
99.0,Bread,Dry,22.24,ten,error,12/04/2024,Monoprix,Sousse
100.0,Bread,Dairy,21.39,16,342.24,,Aziza,Sfax
101.0,Rice,Fruits,38.44,ten,-100,2024-08-08,Aziza,Sousse
,Rice,Meat,33.39,ten,,2022-06-15,,Sousse
103.0,Chicken,Dry,29.05,,,18/05/2022,Monoprix,Sousse
104.0,Pasta,,42.91,ten,error,2023-13-01,MG,Ariana
,Chicken,Meat,19.88,ten,-100,2023-13-01,Aziza,Sousse
106.0,Bread,Fruits,44.05,26,1145.3,11/03/2024,MG,Tunis
107.0,Banana,Dairy,33.34,28,933.5200000000001,2023-02-23,MG,Ariana
108.0,Juice,Fruits,21.06,,,21/08/2023,Carrefour,Tunis
109.0,Juice,Meat,17.64,ten,-100,,Aziza,Sousse
110.0,Banana,Fruits,38.41,,error,2024-02-01,Monoprix,Sousse
111.0,Eggs,,45.83,15,687.4499999999999,11/11/2022,Monoprix,Tunis
,Chicken,,1.96,,,2023-01-13,MG,Sousse
113.0,Juice,Fruits,24.35,4,97.4,19/10/2024,Aziza,Sousse
114.0,Juice,,13.22,,-100,,MG,Tunis
115.0,Milk,Fruits,32.29,,,02/04/2024,Aziza,Sousse
116.0,Apple,,23.95,14,335.3,,Carrefour,Ariana
117.0,Chicken,,28.28,ten,error,25/03/2024,Aziza,Sousse
118.0,Banana,Meat,14.32,ten,error,,Aziza,Ariana
119.0,Rice,Dry,2.68,2,5.36,,,Sousse
,Rice,Dairy,-4.64,,error,04/08/2024,Monoprix,Sfax
121.0,Pasta,Dairy,40.25,ten,,,Monoprix,Tunis
122.0,Banana,Dry,1.83,,error,04/10/2024,Carrefour,Tunis
123.0,Bread,,36.01,ten,-100,,Carrefour,Sousse
124.0,Milk,Meat,3.96,0,0.0,02/08/2024,MG,Sfax
,Chicken,Dry,29.99,19,569.81,2023-08-17,,Sfax
126.0,Eggs,Dairy,27.93,ten,,2023-13-01,MG,Sousse
127.0,Chicken,Fruits,-4.29,,,,MG,Sfax
128.0,Juice,Fruits,40.74,ten,,,Carrefour,Tunis
129.0,Pasta,Meat,12.14,20,242.8,2023-13-01,Monoprix,Sousse
,Bread,Fruits,2.08,ten,,22/09/2023,Monoprix,Sfax
131.0,Bread,Dairy,-3.97,,error,2022-03-29,Carrefour,Tunis
132.0,Banana,Dairy,-1.36,-3,4.08,25/02/2023,Monoprix,Sousse
,Eggs,Meat,47.18,,,22/10/2024,,Tunis
134.0,Milk,,6.93,,error,2022-12-18,Monoprix,Ariana
135.0,Eggs,Dry,32.04,3,96.12,,Monoprix,Sfax
136.0,Chicken,Dairy,20.62,30,618.6,2023-13-01,,Tunis
,Pasta,Dairy,16.16,ten,error,28/06/2024,,Ariana
138.0,Rice,Fruits,42.12,ten,error,2024-01-23,Aziza,Tunis
139.0,Bread,Dairy,2.89,ten,error,2022-07-28,MG,Sfax
140.0,Rice,Dairy,7.81,ten,error,2023-13-01,Aziza,Sousse
141.0,Rice,Dry,23.13,,,2023-13-01,Aziza,Ariana
142.0,Eggs,Dairy,0.48,0,0.0,24/02/2022,Aziza,Sousse
143.0,Bread,Dairy,31.36,,-100,2023-13-01,Aziza,Ariana
144.0,Chicken,,25.06,,error,,MG,Ariana
145.0,Milk,Fruits,25.62,ten,-100,,Monoprix,Sousse
146.0,Bread,,32.13,,error,2022-11-17,Aziza,Sousse
147.0,Rice,,32.21,,error,2022-05-06,Monoprix,Sousse
148.0,Milk,Meat,15.93,,,2023-13-01,Carrefour,Sfax
149.0,Banana,,-0.33,,,23/11/2023,Carrefour,Sousse
150.0,Rice,,23.31,,-100,2022-02-11,MG,Ariana
151.0,Bread,Dry,0.5,,error,2023-13-01,Monoprix,Sousse
152.0,Apple,Dry,29.95,ten,-100,2023-13-01,Carrefour,Sousse
153.0,Apple,,35.86,ten,error,2023-13-01,Carrefour,Ariana
154.0,Bread,Meat,22.76,,-100,,Aziza,Sousse
155.0,Juice,Fruits,43.45,30,1303.5,,MG,Ariana
156.0,Milk,,6.04,26,157.04,2023-13-01,Aziza,Ariana
157.0,Bread,Fruits,41.53,,,10/06/2023,Aziza,Sfax
158.0,Milk,Fruits,38.84,,,,Carrefour,Sfax
159.0,Milk,Meat,38.43,ten,,,Carrefour,Tunis
160.0,Banana,Dairy,44.53,,-100,23/03/2024,Monoprix,Tunis
161.0,Bread,,31.53,,error,04/07/2022,,Tunis
162.0,Rice,Fruits,46.45,10,464.5,25/12/2022,MG,Ariana
163.0,Milk,Dry,24.34,,error,30/08/2024,MG,Sfax
164.0,Chicken,Meat,-3.84,ten,error,2023-13-01,,Ariana
165.0,Chicken,Dairy,24.42,,,,MG,Sousse
166.0,Apple,Meat,6.57,,error,2023-10-12,MG,Tunis
167.0,Rice,Meat,34.46,3,103.38,2023-06-19,MG,Ariana
168.0,Juice,Meat,19.93,-2,-39.86,27/06/2024,Carrefour,Ariana
169.0,Banana,Meat,26.67,4,106.68,23/11/2024,,Ariana
170.0,Chicken,Dry,21.31,,error,2023-13-01,Monoprix,Tunis
171.0,Rice,Dry,46.96,11,516.5600000000001,2022-02-17,Aziza,Sfax
172.0,Eggs,Dairy,17.06,ten,-100,2023-06-17,MG,Sfax
173.0,Juice,Dry,37.53,ten,error,31/08/2022,Monoprix,Sfax
174.0,Pasta,Dry,2.16,ten,error,03/08/2023,Aziza,Sfax
175.0,Milk,Meat,48.69,ten,,2023-13-01,,Ariana
,Eggs,Meat,48.59,ten,,,,Sousse
,Milk,Dairy,13.31,,error,2023-12-27,MG,Ariana
178.0,Chicken,Fruits,48.24,ten,error,18/06/2023,,Ariana
179.0,Eggs,Dairy,12.45,,,2022-10-18,MG,Tunis
180.0,Banana,Meat,45.94,,error,2023-13-01,Aziza,Sfax
181.0,Pasta,Fruits,25.56,25,639.0,2023-01-22,Monoprix,Sfax
,Banana,Fruits,33.83,24,811.92,,MG,Ariana
183.0,Bread,Fruits,1.8,2,3.6,05/01/2023,,Sousse
184.0,Apple,,49.89,ten,-100,2023-01-05,Monoprix,Ariana
,Chicken,Dairy,10.64,,,2023-13-01,Monoprix,Tunis
186.0,Pasta,Dry,29.56,ten,error,2022-01-12,,Ariana
187.0,Eggs,Fruits,42.48,,error,,Carrefour,Ariana
188.0,Rice,Dairy,-3.87,10,-38.7,2023-13-01,Monoprix,Tunis
189.0,Rice,Meat,44.71,,error,23/01/2024,Aziza,Ariana
190.0,Rice,Dairy,36.61,ten,-100,,Carrefour,Tunis
191.0,Pasta,Fruits,30.62,,error,2024-12-15,MG,Ariana
,Pasta,Meat,3.17,ten,-100,,MG,Tunis
,Milk,,0.92,,-100,2023-13-01,MG,Sousse
,Juice,Dairy,1.27,26,33.02,2023-01-09,Carrefour,Ariana
195.0,Banana,Meat,27.3,ten,,2023-13-01,Monoprix,Sfax
,Banana,Dairy,18.86,-2,-37.72,2024-03-19,Monoprix,Ariana
197.0,Rice,,34.93,ten,,2023-13-01,Carrefour,Sfax
,Bread,Dairy,33.28,9,299.52,12/09/2024,Monoprix,Ariana
199.0,Juice,Fruits,-0.26,26,-6.76,2024-08-28,Carrefour,Sfax
200.0,Pasta,Dry,20.93,ten,,2023-13-01,,Ariana
201.0,Bread,Dry,48.87,ten,-100,,Aziza,Ariana
202.0,Pasta,Fruits,34.29,30,1028.7,2024-05-14,MG,Ariana
203.0,Bread,Dry,29.25,,error,12/02/2022,MG,Sfax
204.0,Apple,,7.08,ten,-100,2023-13-01,Aziza,Ariana
205.0,Chicken,Dry,38.99,ten,,2023-03-01,Aziza,Sfax
206.0,Pasta,Dairy,38.64,,error,2023-04-26,Carrefour,Sousse
207.0,Eggs,Fruits,40.54,29,1175.66,,Carrefour,Sfax
208.0,Apple,Dry,9.18,,-100,02/07/2023,,Tunis
,Pasta,Dry,47.95,4,191.8,2022-07-28,Monoprix,Tunis
210.0,Chicken,Fruits,35.06,ten,,23/07/2022,MG,Sousse
211.0,Apple,Dry,48.33,-3,-144.99,2023-13-01,,Sfax
,Chicken,Dry,14.84,12,178.07999999999998,13/05/2024,Monoprix,Ariana
213.0,Rice,Dry,47.35,ten,-100,,Monoprix,Tunis
214.0,Bread,Dairy,13.61,22,299.41999999999996,,Carrefour,Sfax
215.0,Milk,,48.5,,-100,2023-13-01,Carrefour,Sousse
216.0,Eggs,Dry,19.54,ten,,,Monoprix,Sousse
,Chicken,Dry,34.88,ten,-100,2023-08-05,,Sousse
218.0,Eggs,Dairy,-3.47,13,-45.11,2023-09-15,Carrefour,Sousse
219.0,Juice,Meat,1.81,,-100,,MG,Sfax
220.0,Juice,,7.86,,-100,13/02/2024,Carrefour,Sousse
221.0,Chicken,Dry,0.39,,error,2022-06-17,Aziza,Sfax
222.0,Bread,Meat,32.23,ten,-100,2023-13-01,,Ariana
223.0,Pasta,Dry,35.24,23,810.5200000000001,01/11/2024,Aziza,Ariana
224.0,Juice,,1.49,,,08/03/2022,,Sousse
225.0,Rice,Dairy,1.65,15,24.75,2024-12-06,MG,Sousse
226.0,Banana,Meat,21.73,6,130.38,2023-13-01,MG,Sfax
227.0,Pasta,Dairy,1.73,19,32.87,,,Sousse
228.0,Chicken,Dry,21.14,5,105.7,,Aziza,Sfax
229.0,Chicken,Dairy,38.99,,-100,2023-13-01,,Tunis
230.0,Banana,Dairy,42.63,ten,-100,2023-09-25,Monoprix,Tunis
231.0,Pasta,,44.33,ten,,2024-12-25,MG,Sfax
232.0,Pasta,Dairy,39.38,,,2022-04-03,MG,Ariana
233.0,Juice,Meat,16.01,2,32.02,2023-13-01,Monoprix,Sfax
234.0,Bread,Fruits,11.87,ten,-100,2023-13-01,Monoprix,Tunis
,Rice,Dairy,12.6,,,2023-06-13,Carrefour,Sfax
236.0,Apple,Dry,22.97,,-100,2022-08-24,MG,Ariana
237.0,Pasta,Dairy,17.41,11,191.51,27/07/2022,,Sfax
238.0,Rice,Dry,-0.39,29,-11.31,04/02/2024,Monoprix,Ariana
239.0,Juice,Dry,-2.7,ten,error,2023-08-16,Carrefour,Ariana
240.0,Rice,Meat,41.33,ten,error,2024-11-11,Monoprix,Tunis
,Bread,Fruits,34.88,,-100,2023-13-01,MG,Sousse
242.0,Apple,Meat,13.79,ten,,02/02/2022,Carrefour,Ariana
243.0,Eggs,Dry,25.57,,error,2022-06-16,Aziza,Tunis
244.0,Rice,,14.69,ten,error,,MG,Sfax
,Milk,Meat,32.43,19,616.17,13/09/2023,Monoprix,Ariana
246.0,Milk,Meat,22.11,10,221.1,2023-02-06,MG,Ariana
247.0,Apple,,31.97,8,255.76,14/05/2022,MG,Sfax
248.0,Banana,Fruits,41.62,ten,-100,,Carrefour,Ariana
249.0,Milk,Meat,18.79,,-100,,Aziza,Sousse
250.0,Apple,Dairy,10.29,ten,error,2024-07-08,Aziza,Sfax
,Milk,Fruits,48.8,24,1171.1999999999998,08/02/2023,MG,Sousse
,Bread,Dairy,21.4,ten,,28/05/2023,Carrefour,Ariana
253.0,Milk,Meat,23.58,12,282.96,,,Tunis
,Milk,Dairy,15.76,1,15.76,2022-05-07,MG,Ariana
,Milk,,-2.13,,error,21/04/2024,,Tunis
256.0,Rice,,29.06,ten,,2023-13-01,,Sfax
257.0,Bread,,38.42,ten,error,2023-13-01,MG,Ariana
258.0,Pasta,Fruits,8.37,-1,-8.37,,,Sousse
259.0,Juice,Fruits,3.11,ten,,2023-13-01,Carrefour,Sfax
260.0,Juice,Dairy,18.21,9,163.89000000000001,2023-13-01,Monoprix,Ariana
261.0,Pasta,,33.08,ten,error,2023-13-01,Monoprix,Tunis
262.0,Milk,Dry,7.07,ten,,,,Sfax
263.0,Chicken,Dry,6.29,8,50.32,2024-01-14,MG,Tunis
264.0,Eggs,Meat,19.22,20,384.4,12/02/2023,MG,Sfax
265.0,Banana,Fruits,13.69,12,164.28,14/02/2022,MG,Tunis
,Eggs,Dry,31.02,,error,,Monoprix,Sousse
267.0,Juice,,43.49,1,43.49,25/09/2022,Monoprix,Ariana
268.0,Chicken,,18.62,12,223.44,26/08/2023,MG,Sfax
,Banana,Fruits,41.83,28,1171.24,2022-06-16,Monoprix,Ariana
270.0,Juice,Meat,22.42,26,582.9200000000001,,Aziza,Ariana
271.0,Rice,,30.74,10,307.4,14/07/2024,Aziza,Sfax
272.0,Rice,,3.65,,-100,2022-06-23,MG,Ariana
273.0,Milk,Dry,23.17,,error,,Aziza,Sousse
274.0,Rice,Dairy,4.88,,error,2022-06-05,MG,Tunis
275.0,Bread,Dairy,-1.08,ten,error,15/11/2023,MG,Sousse
276.0,Banana,Fruits,33.81,ten,error,2023-13-01,MG,Sousse
277.0,Milk,Dry,30.98,,-100,10/04/2023,Aziza,Sfax
278.0,Juice,Dry,34.74,,,04/10/2023,Aziza,Ariana
279.0,Juice,Dairy,15.61,,error,2023-13-01,MG,Sfax
280.0,Rice,,11.48,ten,error,12/10/2022,MG,Ariana
281.0,Rice,Dairy,24.4,,,,MG,Tunis
282.0,Juice,Fruits,-3.24,28,-90.72,2023-01-18,Aziza,Sousse
283.0,Banana,,-1.15,,error,23/01/2022,MG,Ariana
284.0,Bread,Fruits,24.5,ten,error,07/03/2024,Monoprix,Sfax
285.0,Pasta,Fruits,28.2,ten,,,MG,Sfax
286.0,Pasta,Dairy,40.35,ten,-100,,Aziza,Tunis
,Pasta,Meat,33.52,,error,30/04/2024,Monoprix,Ariana
288.0,Eggs,,0.25,-1,-0.25,2023-13-01,Carrefour,Sfax
289.0,Rice,,1.67,20,33.4,2023-13-01,Aziza,Ariana
290.0,Apple,,-2.55,-2,5.1,2023-13-01,Aziza,Sfax
291.0,Milk,Meat,1.31,,-100,,Carrefour,Tunis
292.0,Pasta,Fruits,20.89,14,292.46000000000004,2022-12-16,Monoprix,Sousse
293.0,Rice,Fruits,-0.73,ten,,,MG,Sfax
294.0,Juice,Fruits,19.31,ten,,,MG,Ariana
295.0,Milk,Dry,37.19,,,2023-05-04,Carrefour,Ariana
296.0,Chicken,Fruits,32.4,1,32.4,10/12/2022,Carrefour,Ariana
297.0,Chicken,Meat,25.91,ten,,,Carrefour,Sfax
298.0,Chicken,Fruits,-4.18,17,-71.06,,Monoprix,Tunis
299.0,Banana,,15.29,1,15.29,,Carrefour,Sfax
50.0,Rice,Dairy,27.9,,-100,2024-10-09,Monoprix,Sfax
54.0,Rice,Meat,34.15,,,09/03/2023,Aziza,Sfax
243.0,Eggs,Dry,25.57,,error,2022-06-16,Aziza,Tunis
,Bread,Fruits,2.08,ten,,22/09/2023,Monoprix,Sfax
134.0,Milk,,6.93,,error,2022-12-18,Monoprix,Ariana
20.0,Juice,Dry,34.98,ten,error,,Carrefour,Sfax
166.0,Apple,Meat,6.57,,error,2023-10-12,MG,Tunis
273.0,Milk,Dry,23.17,,error,,Aziza,Sousse
88.0,Banana,Meat,18.03,12,216.36,2022-08-29,,Sousse
13.0,Eggs,Fruits,5.63,,,,Monoprix,Sfax
,Bread,Fruits,34.88,,-100,2023-13-01,MG,Sousse
264.0,Eggs,Meat,19.22,20,384.4,12/02/2023,MG,Sfax
52.0,Banana,,38.69,,,2023-12-07,,Ariana
,Milk,,4.67,,-100,2024-11-20,Monoprix,Ariana
263.0,Chicken,Dry,6.29,8,50.32,2024-01-14,MG,Tunis
34.0,Chicken,,24.47,ten,,2023-11-11,Monoprix,Sousse
205.0,Chicken,Dry,38.99,ten,,2023-03-01,Aziza,Sfax
80.0,Apple,Dry,16.38,,,2024-12-29,Carrefour,Sousse
49.0,Apple,Fruits,31.44,ten,error,,MG,Tunis
1.0,Apple,,45.97,15,689.55,2023-13-01,Aziza,Ariana
53.0,Milk,Meat,44.56,0,0.0,2023-13-01,Carrefour,Sfax
,Chicken,Meat,19.88,ten,-100,2023-13-01,Aziza,Sousse
259.0,Juice,Fruits,3.11,ten,,2023-13-01,Carrefour,Sfax
190.0,Rice,Dairy,36.61,ten,-100,,Carrefour,Tunis
,Chicken,Dry,34.88,ten,-100,2023-08-05,,Sousse
,Milk,Dairy,16.1,,error,,,Sousse
161.0,Bread,,31.53,,error,04/07/2022,,Tunis
201.0,Bread,Dry,48.87,ten,-100,,Aziza,Ariana
,Banana,Fruits,41.83,28,1171.24,2022-06-16,Monoprix,Ariana
270.0,Juice,Meat,22.42,26,582.9200000000001,,Aziza,Ariana
