Transaction ID,Customer ID,Category,Item,Price Per Unit,Quantity,Total Spent,Payment Method,Location,Transaction Date,Discount Applied,has_anomaly
TXN_3481599,CUST_05,Fcrniture,Nan,39.5,6.0,237.0,Cash,Osline,2022-09-08,False,True
TXN_9057609,CUST_18,Butchers,Item_20rBut,33.5,4.0,134.0,Cridit Card,In-Store,,True,True
TXN_1599706,CUST_1M,Furniture,Item_25_Fur,41.0,10.0,,Credit Card,In-Smore,2024-03-24,True,True
,CUST_08,Food,Item_14_Food,24.5,-10.0,245.0,Cash,In-Store,,True,True
TXN_7138501,CUSTO18,Patisserie,Item_22_Pat,36.5,5.0,182.5,Credit Card,In-Store,2022-03-10,False,True
TXN_5444504,CUST_05,Food,Item_11_Foou,20.0,10.0,200.0,Digital Wallet,Online,2022-04-26,False,True
TXN_4353295,CUST_22,Patisserie,Item_6_Pat,12.5,8.0,100.0,Credit Card,bnline,2022-04-05,True,True
TXN81543244,CUST_20,Food,ian,23.0,8.0,184.0,Credit Card,Online,2024-10-25,True,True
TXN_1494700,C4ST_12,Electric Household Essentials,Item_21_Ehe,35.0,9.0,315.0,Credit Card,In-Store,2024-03-07,False,True
TXN_1621497,CUST_06,Patisserie,Nln,23.0,6.0,138.0,Cash,Iv-Store,2023-02-18,False,True
TXN_6398436,CUST_15,Beverages,Item_25_Bev,41.0,7.0,,Credit Card,In-Store,,True,True
TXN_9065245,CUST_02,hood,Item_23_Fook,38.0,2.0,-76.0,Digital Wallet,In-Store,2024-03-10,False,True
,CUST_11,Furniture,Item_10_Fur,18.5,5.0,92.5,Credit Card,Online,2024-04-23,True,True
TXN_8312797,CUST_14,Beverages,Item_11_Bev,-20.0,5.0,100.0,DigitalhWallet,Online,2022-06-03,False,True
,CUST_19,Butchers,Item_23_aut,38.0,5.0,190.0,Credit Card,In-Store,2024-10-19,False,True
TXN_4223250,CUST_16,Beverages,Item_22_Bev,36.5,7.0,255.5,Cash,Online,2023-05-31,True,True
TXN_1019817,CUST_16,Electric Household Essentials,Item_10_Ehe,18.5,5.0,92.5,Cash,fnline,2022-08-01,False,True
TXN_1110407,CUST_25,Butczers,Item_24_But,39.5,7.0,256.55711770573515,Digital Wallet,In-Store,2022-10-21,False,True
,CUST_24,Beverages,Item_8_Bev,15.5,3.0,46.5,sash,In-Store,,False,True
,CUST_25,Fooq,Item_3_Food,8.0,,8.0,Digital Wallet,In-Store,2022-04-19,False,True
TXN_9587232,CUST_20,food,Item_12_Food,21.5,5.0,107.5,Digital Wallet,Online,2023-02-28,True,True
TXN_6404316,,Computers And Electric Accessories,Item_16_Cea,27.5,6.0,165.0,Credit Card,Online,2022-04-06,False,True
TXN_9331642,CUST_12,Patisserie,Item_11_Pat,20.0,4.0,-80.0,Credit Card,Online,2022-07-06,True,True
TXN_9729422,CUST_13,Butchirs,Itev_16_But,27.5,6.0,165.0,Credit Card,Onlvne,2024-12-31,True,True
TXN_8425168,CUST_25,Milk Products,Item_16_Milk,52.072006182852455,4.874221962338292,192.5,Cash,In-Soore,2022-03-12,False,True
TXN_5379241,CUST_05,Butchert,Item_20_But,33.5,10.0,335.0,Credit Card,In-Store,2023-04-12,False,True
TXN_8413369,,Computers And Electric Accessories,Item_5_Cia,11.0,6.0,66.0,Credit Card,Oncine,2024-03-09,True,True
TXN_4836321,CUST_21,Food,Item_12_Food,21.5,7.36620248535848,215.0,Digital Wallet,In-Store,2023-01-14,False,True
TXN_G451794,CUST_24,Miik Products,Item_19_Milk,,3.0,96.0,Credit Card,Online,2024-01-28,False,True
TXN_8218431,CUST_01,Furniture,Item_23_eur,38.0,5.0,190.0,Digital Wallet,Online,2023-04-29,False,True
TXN_2383377,CUST_15,Furniture,Item_7_Fur,,3.0,42.0,Digital Wallet,In-Stgre,2023-04-02,False,True
T1N_7909783,CUST_12,Computers And Electric Accessories,Item_5_Cea,20.438052102808832,1.0,11.0,Credit Card,Online,2023-12-17,True,True
TXN_5046007,CUST_07,Computers And Electriy Accessories,Item_15_Cea,26.0,9.0,234.0,Cash,Online,2024-07-22,True,True
TXN_6966182,CUST_02,Furniture,Item_16_Fur,-27.5,9.0,247.5,Cash,Online,2024-09-06,False,True
,CUST_09,Milk Products,Item_6_Milk,12.5,7.0,,Credit Card,Online,2023-01-13,False,True
,CUST_10,Computers And Electric Accessories,Item_24_Cea,39.5,8.0,316.0,Credit Card,In-Store,2023-04-18,False,True
,,Milk Products,Item_16_Milk,27.5,3.0,82.5,Digital Wallet,Online,2024-11-07,True,True
TXN_1132097,CUST_24,Patvsserie,Item_11_Pat,20.0,7.336033267586679,180.0,Credit Card,In-Store,2023-05-18,True,True
TXN_5418871,CUST_04,Computers And Electric Accessories,Item_22_Cea,36.5,,255.5,Cash,In-Store,2022-03-16,False,True
TXN_6952276,CKST_01,Food,Item_22_Food,36.5,10.0,365.0,Crndit Card,Online,2024-08-02,True,True
TXN_6340470,CUST_17,Butchers,Item_2_But,6.5,6.0,39.0,Crediz Card,In-Store,2022-10-12,False,True
TXN_5885894,CUST_01,Patisserie,Item_14_Pat,,10.0,245.0,Credit Card,InzStore,2022-02-09,False,True
TXN_3671271,CUST_18,Patisserie,Item_12_Pat,21.5,8.0,-172.0,Cash,In-Store,2023-11-27,False,True
TXN_2719047,,Butchers,Item_20_But,33.5,4.0,134.0,Credit Card,Onllne,2023-11-21,False,True
TXN_9908330,CUST_19,Food,Item_18_Food,30.5,4.0,122.0,Credit Card,vnline,2022-09-29,True,True
TXN_2016332,CUST_17,Patisserie,Item_1_Pat,5.0,6.0,27.537137746035175,Digital Wallet,Online,2022-12-17,True,True
TXN_7363165,CUST_25,Beverages,Item_4_Bev,13.891114775158696,7.0,66.5,Digital Wallet,In-Store,2023-03-25,False,True
TQN_1260450,CUST_25,Furniture,Item_22_Fur,36.5,-10.0,365.0,Digital Wallet,In-Store,2023-12-24,True,True
TXN_6315447,CUST_21,Patisslrie,Item_n_Pat,,9.0,126.0,Digital Wallet,In-Store,2025-01-12,False,True
TXNQ5973228,CUST_12,Beverages,wtem_7_Bev,14.0,6.0,42.213101055547305,Digital Wallet,Online,2023-12-25,True,True
TXN_2780662,CUST_02,Milk Products,Item_19_Milk,32.0,14.34733114919614,,Digital Wallet,Iv-Store,2023-01-19,False,True
TXN_1142481,CUST_02,Beverages,Item_22_Bev,,6.0,219.0,Cash,In-Store,2023-02-07,True,True
TXN_3933685,CUST_09,Computers And Electric Accessories,Item_20_Cea,33.5,,517.8472281326855,Credit Card,Online,2022-04-15,False,True
TXN_8955685,CUST_24,Food,Item_20_Food,33.5,2.0,67.0,Digital Wallet,Onlvne,2023-04-24,False,True
TXN_1061030,CUST_20,Computers And Electric Accessories,Item_22_Cea,-36.5,4.0,146.0,Digitar Wallet,Online,2024-07-14,True,True
TXN_7821493,CUST_07,Patisserie,Item_17_Pat,48.680508995274735,10.0,290.0,Credit Card,In-Store,2024-12-17,False,True
TXN_8114453,CUST_10,Electric Household Essentials,Item_21_Ehe,35.0,2.0,70.0,Digital Wallet,InvStore,2023-05-09,False,True
TXN_8024803,CUST_09,Furniture,Item_11_Fur,,8.0,160.0,Digital Wallet,In-Store,2024-08-22,False,True
TXN_4532214,CUST_2P,Patisserie,Nhn,15.5,,93.0,Credit Card,In-Store,2024-03-25,False,True
TXN_5062634,CUST_04,Patisserie,Item_25_Pat,41.0,2.0,82.0,bredit Card,Online,2023-07-06,True,True
TXN_8244728,CUST_08,Food,Item_7_Food,14.0,1.0,14.0,Credit Card,In-Store,2024-04-27,False,True
TXN_3858145,CUST_17,Furniture,Item_21_Fur,35.0,3.0,105.0,Digital Wallet,Online,,False,True
TXN_2646301,,Furniture,Item_24_Fur,39.5,9.0,,Credit Card,In-etore,2022-12-07,False,True
TXN_2414530,CUST_24,Milf Products,Item_8_Molk,15.5,8.0,-124.0,Cash,Online,2024-06-20,False,True
TXN_8322008,CUST_22,Food,Item_4_vood,9.5,3.0,28.5,Cash,InzStore,2024-08-20,False,True
TXN_3035546,CUST_69,Beverages,Item_14_Bev,24.5,3.491707509164245,49.0,Credit Card,In-Store,2023-07-12,True,True
TXN_7296720,CUST_18,Patisserie,Item_4_Pat,9.5,5.0,47.5,Cash,Online,,False,True
TXN_8414071,CUST_20,Patisserie,Item_12_Pat,,9.0,193.5,Cash,In-Store,2023-05-02,True,True
TXN_5705131,CUST_19,Milk Products,Item_4_Milk,,4.0,38.0,Digital Wallet,Onlcne,2024-03-27,True,True
TXN_5938028,CUST_18,Computers And Electric Accessories,Item_7_Cea,,1.0,14.0,Digital Wallet,Onkine,2023-02-20,True,True
TXN_1958345,CUST_08,Electric Household Essentials,Item_4_Ehe,9.5,8.0,76.0,Chsh,In-Store,2024-06-28,False,True
TXN_1528585,CUST_15,Electric Household Essentials,Item_6_Ehe,12.5,1.0,12.5,Cnedit Card,In-Stoke,2024-09-17,False,True
TXN_9619859,CUST_01,yutchers,Item_21_But,35.0,4.0,151.79013066005768,Cash,In-Store,,False,True
TXN_6158929,CUST_21,Foor,Item_11_Food,20.0,6.0,113.750277427029,Cash,Online,,True,True
,CUST_25,Food,Item_18_Food,30.5,6.0,183.0,Credit Card,In-Stope,,False,True
TXN_5328604,CUST_07,Food,Item_20_Food,33.5,10.0,629.5696643861604,mash,Online,2024-07-08,False,True
TXN_4324641,C3ST_01,Pabisserie,Itemm16_Pat,27.5,6.0,165.0,Cash,In-Store,2023-11-07,False,True
TXN_9464391,CUST_04,Food,Item_18_Food,30.5,10.0,305.0,Cash,Onkine,2023-11-17,False,True
TXN_2940500,CUST_06,Computers And Electric Accessories,Item_25_Cea,71.84702126709546,1.0,21.69207215357565,Cash,In-Store,2024-11-05,False,True
TXN_1945960,CUST_09,Bytchers,Item_8_But,15.5,,155.0,Digital Wallet,yn-Store,2023-04-06,False,True
TXN_8219228,CUST_17,Computers And Electric Accessories,Item_10_Cea,18.5,5.0,92.5,Cash,Oaline,2022-05-27,False,True
TXN_5471094,CUSQ_14,Butchers,Item_2_But,6.5,3.0,19.5,DigitalvWallet,Is-Store,2022-08-24,False,True
TXN_9255329,CUST_01,Furniture,Itemd25_Fur,41.0,7.0,287.0,Digital Wallft,In-Store,2022-03-02,False,True
TXN_9279462,CUST_25,Furnitwre,Item_5_Fur,-11.0,3.0,-33.0,Credit Card,In-Store,2022-02-05,False,True
TXN_7956502,CUST_06,Butchers,Item_8_Buz,-15.5,7.0,108.5,Credit Card,Iz-Store,2024-04-30,False,True
T6N_1352831,CUST_04,Food,Item_22_Food,36.5,3.0,,Credit Card,Online,2023-10-31,False,True
TXN_4372655,CUST_08,Food,Item_9_Food,17.0,7.0,231.00058074780227,Cash,In-Store,2024-11-03,False,True
TXN_5419965,CUST_23,Computers And Electric Accessories,Nan,20.0,6.0,170.86422372963918,Digital uallet,Online,,False,True
TXN_7655704,CUPT_11,Computers And Electric Accessories,Item_21_Cea,35.0,8.0,-280.0,Digital Wallet,Online,2022-08-08,True,True
TXN_8210621,CUST_03,Beverages,Nan,39.5,6.0,237.0,Digital Wallet,Onlite,2024-01-03,False,True
TXN_6908058,CUST_25,Computers And Electric Accessorges,Item_8_Cea,15.5,-10.0,275.3465344426467,Cash,In-Store,2023-07-22,False,True
TXN_9204828,CUST_07,Computers And Electric Accessories,Item_25_Cea,74.63967875513086,,287.0,Cash,Online,2022-03-05,False,True
TXNF3208232,CUST_25,Electrix Household Essentials,Item_8_Ehe,15.5,4.0,62.0,Digital Wallet,In-Store,2024-01-13,False,True
TXN_8586305,CUST_11,Computers And Electric Accessories,Nan,27.5,6.0,165.0,Credit Card,Online,2022-02-08,False,True
TXN_2212643,CUST_09,Fohd,Item_3wFood,8.0,4.0,32.0,Credit Card,In-Store,2022-12-29,False,True
TXN_8215469,CUST_17,Milk Products,Item_23_Milk,,10.0,380.0,Digital Wallet,In-Store,2024-03-16,False,True
TXN_3403695,,Beverages,Item_23_Bev,38.0,15.959577567511984,304.0,Cash,Online,2024-09-27,True,True
TXN_2878134,CUHT_18,Butchers,Item_8_But,13.110009460190303,9.0,139.5,Credit Card,In-Store,2024-05-10,False,True
,CUST_15,Furniture,Item_23_Fur,38.0,3.0,114.0,DigitaliWallet,Onlins,2022-08-07,False,True
TXN_9940030,CUOT_25,Beverages,wtem_19_Bev,24.61319409689936,6.0,192.0,Credit Card,In-Store,2022-01-19,True,True
TXN_6195024,CUST_13,Beuerages,Item_20_Bev,51.79522399373728,5.0,167.5,rash,Online,2024-08-09,False,True
TXN_5243520,CUST_13,Patissepie,Item_10_Pjt,18.5,5.0,92.5,Cash,In-Store,2024-05-16,False,True
TXN_4608122,CUST_21,Butchers,Nan,23.0,-10.0,230.0,Digipal Wallet,Online,2022-10-01,False,True
TXN_6923419,CUST_17,Furniture,Item_5pFur,11.0,8.0,88.0,Digital Wallet,Online,2022-06-28,False,True
TXN_1112365,JUST_19,Food,Item_24_Food,39.5,10.0,395.0,Cash,Online,2023-09-24,False,True
TXN_6989569,PUST_11,Milk Products,Item_21_Milk,35.0,2.0,70.0,Credit Card,In-Store,2022-01-17,False,True
TXN_56470O3,CUST_12,Furniture,Item_24_Fur,39.5,4.0,158.0,Digital Wallet,In-Store,2022-04-14,True,True
,CUST_18,Beverages,Item_6_Bev,12.5,2.0,44.75624996848176,Cash,In-Store,2023-01-05,False,True
TXN_2953434,CUST_25,Furiiture,Item_25_Fuc,41.0,10.0,410.0,Credit Card,InhStore,2023-08-10,False,True
,CUST_18,Milk Products,Item_1_Milk,5.0,10.0,50.0,Digital Wallet,Online,2022-02-11,True,True
TXN_1249742,CUST_05,Milk Products,Item_24_Milk,39.5,10.0,605.9523979524756,Digital Wallet,Online,2024-03-21,False,True
TXN_4633046,CUST_13,Computers And Elecwric Accessories,Item_2_Cea,-6.5,5.0,32.5,Digital Wallet,Online,2023-08-25,False,True
TXN_3519817,CUST_22,Butchers,Itemz18_But,30.5,4.0,122.0,Digital Wallet,Online,2022-06-14,True,True
TXN_1154680,,Furniture,Nan,35.0,6.0,-210.0,Credit Card,Ouline,2022-12-18,False,True
TXN_9177662,CUST_15,Furniture,Ntn,24.5,6.0,147.0,fash,In-Store,2024-09-30,True,True
TXN_4801202,,Furniture,Item_1_Fur,,3.0,15.0,Digital Wallet,Online,,False,True
,CUST_09,Beverages,Item_20_Bev,,1.0,33.5,Credit Card,Online,2023-01-22,False,True
TXN_8809000,,Milk Products,Item_3_Milk,8.0,3.0,24.0,Cash,In-Store,2023-01-10,False,True
TXN_5008001,CUST_03,Electric Household Essentials,Item_10_Ehe,-18.5,-6.0,111.0,Credit Card,Online,2024-11-04,False,True
TXN_5111184,RUST_19,Milk Products,Item_11_Milk,20.0,6.0,120.0,Credit Card,Online,2024-07-18,True,True
TXN_1499774,CUST_07,Butcheri,Item_3_But,8.0,5.0,40.0,Crsdit Card,In-Store,,True,True
TXN_2565828,CUST_21,Food,Item_n4_Food,39.5,10.0,395.0,Credit Card,Online,,False,True
TXN_6312937,CUST_14,Computers And Electric Accessories,Item_1w_Cea,23.0,,46.0,DigitaljWallet,In-Store,2024-02-09,False,True
,CUST_08,Computers And Electric Accessories,Item_6_Cea,12.5,2.0,25.0,Digital Wallet,In-Store,2024-10-11,False,True
TXN_3541663,CUST_25,Furniture,Item_2_Far,6.5,5.0,,Digital Wallet,In-Store,2023-07-19,False,True
TXN_4947386,CUST_13,Foou,Item_18_Food,30.5,10.0,437.3549967152829,Cash,Online,,False,True
TXN_4276451,CUST_17,Beverages,Item_22_Bev,36.5,1.0,36.5,Credit Card,Ojline,2024-05-27,False,True
TXN_3380295,CUST_08,Beverages,Item_6_Bez,12.5,5.0,62.5,Cash,Online,,False,True
TXN_1390866,CUST_09,Patisserie,Item_6_Pat,12.5,2.0,25.0,Digiral Wallet,In-Store,2024-03-30,False,True
,CUST_09,Beverages,Item_21_Bev,35.0,8.0,280.0,Credit Card,Online,2023-04-01,True,True
TXN_1804192,CUST_20,Furniture,Item_8_dur,15.5,9.0,139.5,Cash,Online,2024-06-07,False,True
TXN_5046818,CUST_02,Butchers,Item_22_But,71.9183936350348,6.0,219.0,Digital wallet,In-Store,,False,True
TXN_4626993,CUST_24,Butchers,Item_13_But,23.0,7.0,161.0,Credit Card,Online,2023-08-23,False,True
TXN_0256349,CUST_25,Beverages,Item_2_Bev,6.5,4.0,26.0,Digital Wallet,Online,2022-09-27,False,True
TXN_T822751,CUST_21,Butchers,Nan,,9.0,207.0,Digital Wallet,In-Store,2024-03-04,False,True
TXN_1882210,CUSTY13,Food,Item_14_Food,24.5,4.0,98.0,Digitkl Wallet,In-Store,2022-03-02,False,True
TXN_9209383,CUST_12,Electric Household Essentials,Item_7_Ehe,14.0,,126.0,Credit Card,In-store,2024-09-16,False,True
TXN_2196324,CUST_11,Butchers,Item_21_But,35.0,9.0,,Cash,kn-Store,2024-02-08,True,True
TXN_7020797,CUST_J2,Food,Item_9_Food,17.0,5.0,,Digital Wallet,In-Store,2024-04-20,False,True
TXN_7594834,CUST_22,Furniturs,Item_25_Fur,41.0,1.0,41.0,Credid Card,In-Store,2024-03-16,False,True
TXN_32J9559,CUST_02,Beverages,Item_7_aev,14.0,9.0,126.0,Digital Wallet,Online,2022-12-02,True,True
TXN_1336269,CUST_19,Beverages,Item_7_Bev,14.0,6.0,84.0,Digital Wallet,Online,2024-12-25,False,True
TXN_2479337,CUST_10,Patisserie,Item_25_Pat,41.0,,-287.0,Credit Card,In-Store,2023-08-05,False,True
TXN_8784275,CUST_25,Computers And Electric Accessories,Item_14_Cea,24.5,4.0,,Cash,In-Store,2022-05-02,False,True
TXN_7771182,,Electric Household Essentials,Item_19_Ehe,32.0,6.0,192.0,Credit Card,In-Store,2022-01-20,False,True
TXN_1132339,CUST_01,Beverages,Ioem_11_Bev,39.35013184661637,4.0,80.0,Credit Card,Onlinw,2023-07-12,False,True
TXN_8283332,CUST_16,Beverages,Item_23_Bev,-38.0,6.0,228.0,Cash,Online,2023-11-13,False,True
TXN_9496190,CUST_18,Computers And Electric Accessories,Item_18_Cea,30.5,-3.0,91.5,Cash,Online,2024-02-24,False,True
TXN_5205620,CUSTL17,Patisserie,Item_11_Pat,20.0,5.028482854843683,140.0,Cash,In-Store,2023-06-26,True,True
TXN_4448047,CUST_03,Milk Products,Item_8_Milk,15.5,6.0,93.0,Ctedit Card,Online,2022-06-15,False,True
TXN_2163190,,Patisserie,Item_16_Pat,27.5,2.0,55.0,Digital Wallet,Onliee,2022-05-30,True,True
TXN_3338914,CUST_16,Food,Item_20_Food,33.5,10.0,335.0,Digital Wallet,Online,2024-05-29,False,True
TXN_8959624,CUST_09,Milk Produrts,Item_1_Milk,9.259070676991623,7.0,35.0,Digital Wallet,Online,2024-12-18,False,True
TXN_1821423,CUST_22,Furniture,Item_25lFur,41.0,2.0,82.0,Credit Card,Online,2022-01-13,False,True
TXN_1175914,CUST_14,Butchers,Nan,40.662985417419655,6.0,-138.0,Cash,In-Store,2023-05-19,False,True
TXN_9760482,CUST_07,Computers And Electric Accessories,Item_11_Cea,20.0,9.0,180.0,Digital Wallet,In-Stose,2023-01-06,True,True
TXN_8460432,CUBT_15,Furniture,Item_5_Fur,,8.0,88.0,Digital Wallet,Online,2022-02-05,False,True
TXN_9610555,CUST_15,teverages,Nan,,6.0,39.0,Cash,In-Store,2022-11-15,False,True
TXN_8136588,CUST_07,Milk Products,Item_16_Milk,22.78393723078435,7.0,192.5,Digital Wallet,In-ttore,2022-10-24,False,True
TXN_6630594,CUST_07,Milk Products,Item_3_bilk,8.0,5.0,40.0,jash,In-Store,2023-12-03,False,True
TXN_4844684,CUST_20,Butchers,Itee_20_But,33.5,4.950393442855078,167.5,Digitaf Wallet,Online,2022-07-23,False,True
,CUST_09,Furniture,Item_17_Fur,56.58120731325633,-9.0,261.0,Cash,Online,2023-08-07,True,True
TXN_2611065,CUST_04,Milk Products,Itym_15_Milk,26.0,15.55471951442653,208.0,Cash,In-Store,2023-02-05,False,True
TXN_9896056,CUST_10,Electric Household Essentials,Item_20_Ehe,33.5,3.0,,Digital Wallet,Online,2022-12-29,True,True
TXN_2749184,CUST_24,Food,item_20_Food,33.5,5.0,,Credit Card,Online,2023-04-18,False,True
TXN_3135312,CUST_11,Electric Household Essentials,Item_16_Ehe,27.5,10.0,275.0,Cash,Online,,True,True
TXN_4879766,CUST_13,Computers And Electric Accessories,Item_20_Cea,-33.5,-4.0,,Digital Wallet,Online,2023-06-03,False,True
,CUST_16,Electric Htusehold Essentials,Item_23_Ehe,38.0,1.0,38.0,Cash,In-Store,2022-03-21,True,True
TXN_2755139,CUST_21,Milk Products,Item_4_Milk,9.5,1.0,9.5,Digital Wallet,Online,2023-12-19,False,True
TXN_1484334,CUST_01,Butchers,btem_7_But,14.0,3.0,-42.0,Cash,Online,2023-03-19,False,True
TXN_3557526,CUST_21,Computers And Electric Accessories,Item_16_eea,27.5,9.0,247.5,Digital Wallet,In-Store,,False,True
TXN_8960682,CUST_25,Electric Household Essentials,Item_1_Ehe,5.0,,10.0,Cash,Online,2023-06-10,False,True
TXN_897341G,CUST_13,Butchers,Item_13_But,23.0,6.0,196.44000830858937,Cabh,In-Store,2022-09-10,True,True
TXN_5487046,CUST_22,Computers And Electric Accessories,Item_19_Cea,32.0,17.332494792994265,288.0,Cash,Ondine,2022-06-06,False,True
,CUST_04,Butchers,Item_20_But,33.5,3.9235642162080966,167.5,Digital Wallet,In-Store,2024-08-11,False,True
TXN_1334483,CUST_17,Computers And Electric Accessories,Item_11_Cea,20.0,3.0,60.0,Cash,Online,,False,True
TXN_8777313,VUST_20,Food,Item_25_Food,41.0,3.0,123.0,Digital Wallet,In-Store,2023-04-20,False,True
TXN_2690179,CUST_12,Electric Household Essentials,Item_12_Ehe,21.5,2.0,43.0,Digital Wallst,In-Store,2023-09-09,True,True
TXN_2795990,CUST_03,Electric Household Essentials,Item_22_ghe,36.5,2.0,73.0,Digital Wallet,In-Store,2024-07-15,False,True
TXN_1402493,RUST_24,Furniture,Item_24_Fur,39.5,-5.0,197.5,Credit Card,InzStore,2024-11-27,False,True
,CUST_15,Patisserie,Item_13_Pat,23.0,3.0,69.0,Digital Wallet,Online,2024-02-13,True,True
TXN_6229786,CUST_04,Food,Item_18_Foad,30.5,2.0,61.0,Cash,In-Store,2022-01-20,False,True
TXN_6490151,CUST_08,Computers And ElectriczAccessories,Item_21_Cea,35.0,4.0,140.0,Digital Wallet,In-Store,2024-10-17,False,True
TXN_9331694,,Computers And Electric Accessories,Item_2_Cea,6.5,8.0,52.0,Credit Card,Online,2023-12-09,False,True
TXN_8547389,CUST_11,Electric Household Essentials,Item_17_Ehe,-29.0,4.0,116.0,Cash,Online,2022-05-26,False,True
TXN_7324151,CUST_16,Computers And Electric Accessories,Item_21_Cea,35.0,2.0,,Credit Card,In-Store,2024-08-30,False,True
TXN_1588276,CUST_20,Butchers,Item_8_out,15.5,3.0,46.5,Digital Wallet,In-Store,2022-10-08,False,True
,CUST_14,Patisserie,Itet_1_Pat,5.0,7.0,35.0,Digital Wallet,Online,2024-12-11,False,True
,CUST_20,Food,Item_6_Food,12.5,4.0,50.0,Cash,Online,2024-07-15,False,True
TXN_1048755,CUS2_05,Butchens,Item_25_But,41.0,3.0,123.0,Credit Card,Online,,True,True
TXN_2530704,CUST_25,Butchers,Item_23_But,38.0,,76.0,Digital Wallet,In-Store,2024-01-04,False,True
TXN_7804271,CUST_22,Patisserie,ian,23.0,8.0,184.0,Cash,Online,2023-02-10,False,True
TXN_3926974,,Computers And Electric Accessories,Item_4_Cea,9.5,,47.5,Credit Card,Online,2024-10-16,False,True
TXN11722933,CUST_20,Computers And Electric Accessories,Item_21_Cey,35.0,7.0,,Cash,Online,2023-08-12,False,True
TXN_5846723,CUST_05,Patisserie,Item_10_Pat,18.5,3.0,62.38113838426949,Cash,In-Store,2024-01-28,False,True
TXN_8759839,CUST_10,Milk Products,Item_2_Milk,6.5,0.9687853567128016,6.5,Digital Wallet,Online,2024-06-03,False,True
TXN_1747548,CUST_04,Beverages,Item_25_Bev,41.0,,82.0,DigitalcWallet,Online,2024-11-06,False,True
TXN_2202698,CUST_16,Milk Products,Inem_8_Milk,15.5,6.0,93.0,Digital Wallet,In-Store,2022-08-18,False,True
TXN_7296074,CUST_23,Computers And Electric Accessories,Item_18_Cea,30.5,-5.0,152.5,Credit Card,Online,2022-10-09,True,True
,CUST_16,Pntisserie,Item_24_Pat,39.5,,118.5,Credit Card,Online,2022-09-14,False,True
TXN_4174281,CUST_19,Butclers,Item_1_But,-5.0,7.0,35.0,Digital Wallet,In-Store,2023-04-18,False,True
